Allocation_Status,Interface_Group,Board_Net,Package_Pin,FPGA_Pin_Function,GT_Location,Bank,VCCO_V,Direction,Differential_Mate,Clock_Capability,IOSTANDARD,Verification_Status,Notes
FIXED-VERIFIED,PCIe,PCIE_RX2_P,D11,MGTPRXP1_216,X0Y1,216,,IN,PCIE_RX2_N,MGT,,VERIFIED_IN_VIVADO,Verified directly in Vivado 2026.1 for xc7a35tfgg484-2. MGTPRXP1_216 maps to package ball D11 at X0Y1.
FIXED-VERIFIED,PCIe,PCIE_RX2_N,C11,MGTPRXN1_216,X0Y1,216,,IN,PCIE_RX2_P,MGT,,VERIFIED_IN_VIVADO,Verified directly in Vivado 2026.1 for xc7a35tfgg484-2. MGTPRXN1_216 maps to package ball C11 at X0Y1.
FIXED-VERIFIED,PCIe,PCIE_TX3_P,B4,MGTPTXP0_216,X0Y0,216,,OUT,PCIE_TX3_N,MGT,,VERIFIED_IN_VIVADO,Verified directly in Vivado 2026.1 for xc7a35tfgg484-2. MGTPTXP0_216 maps to package ball B4 at X0Y0.
FIXED-VERIFIED,PCIe,PCIE_TX3_N,A4,MGTPTXN0_216,X0Y0,216,,OUT,PCIE_TX3_P,MGT,,VERIFIED_IN_VIVADO,Verified directly in Vivado 2026.1 for xc7a35tfgg484-2. MGTPTXN0_216 maps to package ball A4 at X0Y0.
FIXED-VERIFIED,PCIe,PCIE_RX3_P,B8,MGTPRXP0_216,X0Y0,216,,IN,PCIE_RX3_N,MGT,,VERIFIED_IN_VIVADO,Verified directly in Vivado 2026.1 for xc7a35tfgg484-2. MGTPRXP0_216 maps to package ball B8 at X0Y0.
FIXED-VERIFIED,PCIe,PCIE_RX3_N,A8,MGTPRXN0_216,X0Y0,216,,IN,PCIE_RX3_P,MGT,,VERIFIED_IN_VIVADO,Verified directly in Vivado 2026.1 for xc7a35tfgg484-2. MGTPRXN0_216 maps to package ball A8 at X0Y0.
FIXED-VERIFIED,PCIe clock,PCIE_REFCLK_P,F6,MGTREFCLK0P_216,,216,,IN,PCIE_REFCLK_N,MGTREFCLK,,VERIFIED_IN_VIVADO,"Verified directly in Vivado 2026.1. Generated PCIe XDC places refclk_ibuf at IBUFDS_GTE2_X0Y0, which maps to MGTREFCLK0P_216 on package ball F6."
FIXED-VERIFIED,PCIe clock,PCIE_REFCLK_N,E6,MGTREFCLK0N_216,,216,,IN,PCIE_REFCLK_P,MGTREFCLK,,VERIFIED_IN_VIVADO,"Verified directly in Vivado 2026.1. Generated PCIe XDC places refclk_ibuf at IBUFDS_GTE2_X0Y0, which maps to MGTREFCLK0N_216 on package ball E6."
RESERVED,PCIe clock,MGTREFCLK1_P_RSVD,F10,MGTREFCLK1P_216,,216,,IN,MGTREFCLK1_N_RSVD,MGTREFCLK,,VERIFIED_AVAILABLE_UNUSED,Verified package resource in Vivado 2026.1: MGTREFCLK1P_216 on F10. Not selected by the current PCIe core; reserve unless later reassigned.
RESERVED,PCIe clock,MGTREFCLK1_N_RSVD,E10,MGTREFCLK1N_216,,216,,IN,MGTREFCLK1_P_RSVD,MGTREFCLK,,VERIFIED_AVAILABLE_UNUSED,Verified package resource in Vivado 2026.1: MGTREFCLK1N_216 on E10. Not selected by the current PCIe core; reserve unless later reassigned.
FIXED-VERIFIED,Configuration,FPGA_CCLK,L12,CCLK_0,,0,3.3,OUT,,CONFIG,,VERIFIED_IN_VIVADO,Verified directly in Vivado 2026.1 for xc7a35tfgg484-2: CCLK_0 maps to package ball L12.
FIXED-VERIFIED,Configuration,FPGA_FCS_N,T19,IO_L6P_T0_FCS_B_14,,14,3.3,OUT,,CONFIG,LVCMOS33,VERIFIED_IN_VIVADO,Verified directly in Vivado 2026.1 for xc7a35tfgg484-2: IO_L6P_T0_FCS_B_14 maps to package ball T19.
FIXED-VERIFIED,Configuration,FPGA_QSPI_D0,P22,IO_L1P_T0_D00_MOSI_14,,14,3.3,BIDIR,,CONFIG,LVCMOS33,VERIFIED_IN_VIVADO,Verified directly in Vivado 2026.1 for xc7a35tfgg484-2: IO_L1P_T0_D00_MOSI_14 maps to package ball P22.
FIXED-VERIFIED,Configuration,FPGA_QSPI_D1,R22,IO_L1N_T0_D01_DIN_14,,14,3.3,BIDIR,,CONFIG,LVCMOS33,VERIFIED_IN_VIVADO,Verified directly in Vivado 2026.1 for xc7a35tfgg484-2: IO_L1N_T0_D01_DIN_14 maps to package ball R22.
FIXED-VERIFIED,Configuration,FPGA_QSPI_D2,P21,IO_L2P_T0_D02_14,,14,3.3,BIDIR,,CONFIG,LVCMOS33,VERIFIED_IN_VIVADO,Verified directly in Vivado 2026.1 for xc7a35tfgg484-2: IO_L2P_T0_D02_14 maps to package ball P21.
FIXED-VERIFIED,Configuration,FPGA_QSPI_D3,R21,IO_L2N_T0_D03_14,,14,3.3,BIDIR,,CONFIG,LVCMOS33,VERIFIED_IN_VIVADO,Verified directly in Vivado 2026.1 for xc7a35tfgg484-2: IO_L2N_T0_D03_14 maps to package ball R21.
FIXED-VERIFIED,Configuration,FPGA_PROGRAM_N,N12,PROGRAM_B_0,,0,3.3,IN,,CONFIG,,VERIFIED_IN_VIVADO,Verified directly in Vivado 2026.1 for xc7a35tfgg484-2: PROGRAM_B_0 maps to package ball N12.
FIXED-VERIFIED,Configuration,FPGA_INIT_N,U12,INIT_B_0,,0,3.3,BIDIR,,CONFIG,,VERIFIED_IN_VIVADO,Verified directly in Vivado 2026.1 for xc7a35tfgg484-2: INIT_B_0 maps to package ball U12.
FIXED-VERIFIED,Configuration,FPGA_DONE,G11,DONE_0,,0,3.3,BIDIR,,CONFIG,,VERIFIED_IN_VIVADO,Verified directly in Vivado 2026.1 for xc7a35tfgg484-2: DONE_0 maps to package ball G11.
FIXED-VERIFIED,Configuration,FPGA_PUDC_N,U22,IO_L3P_T0_DQS_PUDC_B_14,,14,3.3,IN,,CONFIG,,VERIFIED_IN_VIVADO,Verified directly in Vivado 2026.1 for xc7a35tfgg484-2: IO_L3P_T0_DQS_PUDC_B_14 maps to package ball U22.
RESERVED,Configuration,FPGA_EMCCLK_RSVD,V22,IO_L3N_T0_DQS_EMCCLK_14,,14,3.3,IN,,CONFIG,,VERIFIED_IN_VIVADO,Verified directly in Vivado 2026.1 for xc7a35tfgg484-2. EMCCLK is not used by the Rev A Master-SPI baseline; reserve V22 until the configuration architecture is intentionally changed.
FIXED-VERIFIED,Configuration,FPGA_CFGBVS,U8,CFGBVS_0,,0,3.3,IN,,CONFIG,,VERIFIED_IN_VIVADO,Verified directly in Vivado 2026.1 for xc7a35tfgg484-2: CFGBVS_0 maps to package ball U8.
FIXED-VERIFIED,Configuration,FPGA_M0,U11,M0_0,,0,3.3,IN,,CONFIG,,VERIFIED_IN_VIVADO,Verified directly in Vivado 2026.1 for xc7a35tfgg484-2: M0_0 maps to package ball U11.
FIXED-VERIFIED,Configuration,FPGA_M1,U10,M1_0,,0,3.3,IN,,CONFIG,,VERIFIED_IN_VIVADO,Verified directly in Vivado 2026.1 for xc7a35tfgg484-2: M1_0 maps to package ball U10.
FIXED-VERIFIED,Configuration,FPGA_M2,U9,M2_0,,0,3.3,IN,,CONFIG,,VERIFIED_IN_VIVADO,Verified directly in Vivado 2026.1 for xc7a35tfgg484-2: M2_0 maps to package ball U9.
FIXED-VERIFIED,JTAG,FPGA_TCK,V12,TCK_0,,0,3.3,IN,,JTAG,,VERIFIED_IN_VIVADO,Verified directly in Vivado 2026.1 for xc7a35tfgg484-2: TCK_0 maps to package ball V12.
FIXED-VERIFIED,JTAG,FPGA_TMS,T13,TMS_0,,0,3.3,IN,,JTAG,,VERIFIED_IN_VIVADO,Verified directly in Vivado 2026.1 for xc7a35tfgg484-2: TMS_0 maps to package ball T13.
FIXED-VERIFIED,JTAG,FPGA_TDI,R13,TDI_0,,0,3.3,IN,,JTAG,,VERIFIED_IN_VIVADO,Verified directly in Vivado 2026.1 for xc7a35tfgg484-2: TDI_0 maps to package ball R13.
FIXED-VERIFIED,JTAG,FPGA_TDO,U13,TDO_0,,0,3.3,OUT,,JTAG,,VERIFIED_IN_VIVADO,Verified directly in Vivado 2026.1 for xc7a35tfgg484-2: TDO_0 maps to package ball U13.
PLANNED,Board control,PCIE_PERST_N,,Bank 15 HR I/O,,15,3.3,IN,,,LVCMOS33,PIN_SELECTION_TBD,Choose compatible Bank 15 pin after Vivado I/O planning and electrical review.
PLANNED,Local clock,SYS_CLK_100,,Bank 15 MRCC/SRCC,,15,3.3,IN,,MRCC/SRCC,LVCMOS33,PIN_SELECTION_TBD,Must use clock-capable pin. Exact pin depends on placement/clock-region planning.
PLANNED,Debug,USB_UART_TX,,Bank 15 HR I/O,,15,3.3,IN,,,LVCMOS33,PIN_SELECTION_TBD,USB-UART bridge TX -> FPGA RX.
PLANNED,Debug,USB_UART_RX,,Bank 15 HR I/O,,15,3.3,OUT,,,LVCMOS33,PIN_SELECTION_TBD,FPGA TX -> USB-UART bridge RX.
PLANNED,Control,I2C_SCL,,Bank 15 HR I/O,,15,3.3,BIDIR,,,LVCMOS33,PIN_SELECTION_TBD,Open-drain implementation / pull-up strategy to be defined.
PLANNED,Control,I2C_SDA,,Bank 15 HR I/O,,15,3.3,BIDIR,,,LVCMOS33,PIN_SELECTION_TBD,Open-drain implementation / pull-up strategy to be defined.
PLANNED,Instrumentation clock,EXT_CLK_P,,Bank 16/34/35 clock-capable P,,TBD,2.5,IN,EXT_CLK_N,MRCC/SRCC,LVDS_25,PIN_SELECTION_TBD,Choose differential clock-capable pair after connector/placement decision.
PLANNED,Instrumentation clock,EXT_CLK_N,,Bank 16/34/35 clock-capable N,,TBD,2.5,IN,EXT_CLK_P,MRCC/SRCC,LVDS_25,PIN_SELECTION_TBD,Differential mate.
PLANNED,Trigger,EXT_TRIGGER,,Conditioned FPGA input,,TBD,TBD,IN,,,TBD,INTERFACE_DECISION_TBD,FPGA bank depends on final trigger front-end standard.
